Species ,Locality number ,Locality ,Catalogue number
H. platycephalus ,9,Sierra: east face of Sierra Buttes ,"MVZ 250821*, 250822*"
H. platycephalus ,10,"Placer: ‘Fourth of July Chutes’, between Barker Pass and Ellis Peak ","MVZ 250724*, 250725*"
H. platycephalus ,11,El Dorado: east side of Smith Lake ,"MVZ 236798, 236799"
H. platycephalus ,12,Tuolumne: upper Lyell Canyon ,"MVZ 232850*, 240732*, 240733*"
H. platycephalus ,13,Tuolumne: lower Cathedral Lake ,MVZ 250826*
H. platycephalus ,14,Tuolumne: 500 m NW of Middle Emigrant Lake ,"MVZ 249935*, 249936*"
H. platycephalus ,15,Tuolumne: west side of Sonora Pass ,"MVZ 236797*, 249937"
H. platycephalus ,16,Mariposa: east side of Vogelsang Lake ,"MVZ 244557*, 245558*"
H. platycephalus ,17,Mariposa: top of Half Dome ,HD3*
H. platycephalus ,18,Mariposa: south side of Vernal Falls ,MVZ 237178*
H. platycephalus ,19,Mariposa: base of Bridalveil Falls ,"MVZ 245552*, 245553*"
H. platycephalus ,20,Mono: Peeler Lake ,MVZ 250818*
H. platycephalus ,21,Mono: north side of Conness Lakes ,"MVZ 263697, 263698*"
H. platycephalus ,22,"Madera: Ritter Pass, about 1.5 km SW of Lake Ediza ",MVZ 250819*
H. platycephalus ,23,"Mono: west side of Lake George, Mammoth Lakes ",MVZ 250817
H. platycephalus ,24,Mono: Convict Creek ,MVZ 250820*
H. platycephalus ,25,Fresno: north side of Glenn Pass ,MVZ263671
H. platycephalus ,26,"Fresno: Mt. Cotter, 60 Lakes Basin ","MVZ 250803, 250810*"
H. platycephalus ,27,Fresno: Granite Pass ,MVZ 250804*
H. platycephalus ,28,Fresno: Palisade Lakes ,"MVZ 250806, 250807*"
H. platycephalus ,29,Fresno: top of Bald Mountain ,"MVZ 250808*, 250809"
H. platycephalus ,30,Fresno: upper LeConte Canyon ,MVZ 250811†
H. platycephalus ,31,"Fresno: below Helen Lake, near Muir Pass ","MVZ 250801*, 250802*"
H. platycephalus ,32,Fresno: Bear Lakes Basin ,"MVZ 263672*, 263673*, MVZ 250800*"
H. platycephalus ,33,Fresno: Graveyard Lakes ,SDS06-H9*
H. platycephalus ,34,Fresno: outflow from Grinnell Lake ,MVZ 250805*
H. platycephalus ,35,Fresno: Tully Lake ,"MVZ 250798†, 250799"
H. platycephalus ,36,Tulare: Bullfrog Lakes ,"VTV056†, MVZ 263699†"
H. platycephalus ,37,Tulare: Franklin Lakes ,"MVZ 263702, 263703†"
H. platycephalus ,38,Tulare: Columbine Lakes ,"MVZ 263700*, 263701†"
H. platycephalus ,39,"Tulare: Below Mt. Eisen, Kern-Big Arroyo drainage ",MVZ 241474
H. platycephalus ,40,Tulare: Pear Lake ,MVZ 263706†
H. platycephalus ,41,Tulare: Milestone Basin ,"MVZ2 63704, 263705"
H. platycephalus ,42,Tulare: Silliman Gap ,MVZ 250825
H. platycephalus ,43,Tulare: east of Mt. Jordan ,"MVZ 250823, 250824†"
H. platycephalus ,44,Inyo: Olancha Creek ,"MVZ 223122†, 223123*"
H. platycephalus ,45,Inyo: tributary of Cottonwood Creek ,"MVZ 263692†, 263693†"
H. platycephalus ,46,"Inyo: Slide Canyon, 9 mi S Lone Pine ",MVZ 223120*
H. platycephalus ,47,Inyo: Lubkin Canyon ,MVZ 223121*
H. platycephalus ,48,Inyo: Inyo Creek Canyon ,MVZ 263689†
H. platycephalus ,49,"Inyo: Charlie Canyon, North Fork Oak Creek ",MVZ 250813†
H. platycephalus ,50,Inyo: Sawmill Canyon ,"MVZ 263690†, 263691*"
H. platycephalus ,51,Inyo: Shannon Canyon and canyons west of Big Pine ,"MVZ 250812,† 250814*"
H. platycephalus ,52,Inyo: side canyons of Pine Creek ,"MVZ 236800*, 250816*"
H. platycephalus ,53,"Inyo: Site 95, 3.0 mi NW Rovana ",MVZ 223124*
